X	Y	ID	NOME	ESTADO	MUNICÍPIO	BACIA	SUB-BACIA	RESPONSÁVEL	OPERADORA	ALTITUDE	ESTAÇÃO PLUVIOMÉTRICA	REGISTRADOR DE CHUVA	ESTAÇÃO CLIMATOLÓGICA	INÍCIO - PERÍODO PLUVIOMÉTRICO	FIM - PERÍODO PLUVIOMÉTRICO	INÍCIO - PERÍODO REGISTRADOR DE CHUVA	FIM - PERÍODO REGISTRADOR DE CHUVA	INÍCIO - PERÍODO CLIMATOLÓGICO	FIM - PERÍODO CLIMATOLÓGICO
-44,75	-23,2667	2029001	ILHA DA TRINDADE	RIO DE JANEIRO	PARATI	ATLÂNTICO, TRECHO LESTE	RIOS MACAÉ, SÃO JOÃO E OUTROS	COMANDO DE HIDROGRAFIA E NAVEGAÇÃO DO MINISTÉRIO DA MARINHA	COMANDO DE HIDROGRAFIA E NAVEGAÇÃO DO MINISTÉRIO DA MARINHA	12	SIM	SIM	SIM	01/06/1925	--	01/06/1925	--	01/06/1925	--
-41,8678	-20,9314	2041046	VARRE - SAI	RIO DE JANEIRO	NATIVIDADE	ATLÂNTICO, TRECHO LESTE	RIOS ITAPEMIRIM, ITABAPOANA E .	AGÊNCIA NACIONAL DE ÁGUAS	CIA DE PESQUISA DE RECURSOS MINERAIS	688	SIM	NÃO	NÃO	01/06/1967	--	--	--	--	--
-41,7167	-20,8744	2041052	UHE ROSAL MONTANTE 1	RIO DE JANEIRO	BOM JESUS DE ITABAPOANA	ATLÂNTICO, TRECHO LESTE	RIOS ITAPEMIRIM, ITABAPOANA E .	ROSAL ENERGIA S.A.	ROSAL ENERGIA S.A.	560	SIM	NÃO	NÃO	01/10/2011	--	--	--	--	--
-41,7694	-20,8019	2041087	UHE ROSAL MONTANTE 2	RIO DE JANEIRO	VARRE-SAI	ATLÂNTICO, TRECHO LESTE	RIOS ITAPEMIRIM, ITABAPOANA E .	ROSAL ENERGIA S.A.	ROSAL ENERGIA S.A.	--	SIM	NÃO	NÃO	01/03/2011	--	--	--	--	--
-41,7419	-20,8589	2041141	SANTA RITA DO PRATA	RIO DE JANEIRO	VARRE-SAI	ATLÂNTICO, TRECHO LESTE	RIOS ITAPEMIRIM, ITABAPOANA E .	AGÊNCIA NACIONAL DE ÁGUAS	CIA DE PESQUISA DE RECURSOS MINERAIS	578	SIM	NÃO	NÃO	01/05/2017	--	--	--	--	--
-42,0517	-20,9692	2042027	PORCIUNCULA	RIO DE JANEIRO	PORCIÚNCULA	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	AGÊNCIA NACIONAL DE ÁGUAS	CIA DE PESQUISA DE RECURSOS MINERAIS	188	SIM	NÃO	NÃO	01/11/1928	--	--	--	--	--
-42,0381	-20,9617	2042044	PORCIÚNCULA	RIO DE JANEIRO	PORCIÚNCULA	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO ESTADUAL DO AMBIENTE	INFOPER	--	SIM	NÃO	NÃO	01/04/2012	--	--	--	--	--
-41,1033	-21,4828	2141001	SÃO FRANCISCO PAULA - CACIMBAS	RIO DE JANEIRO	SÃO JOÃO DA BARRA	ATLÂNTICO, TRECHO LESTE	RIOS ITAPEMIRIM, ITABAPOANA E .	AGÊNCIA NACIONAL DE ÁGUAS	CIA DE PESQUISA DE RECURSOS MINERAIS	15	SIM	NÃO	NÃO	01/01/1972	--	--	--	--	--
-41,3003	-21,7533	2141002	CAMPOS - PONTE MUNICIPAL	RIO DE JANEIRO	CAMPO DOS GOYTACAZES	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	AGÊNCIA NACIONAL DE ÁGUAS	CIA DE PESQUISA DE RECURSOS MINERAIS	14	SIM	NÃO	NÃO	01/04/1945	--	--	--	--	--
-41,6136	-21,4919	2141003	CARDOSO MOREIRA	RIO DE JANEIRO	CAMPO DOS GOYTACAZES	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	AGÊNCIA NACIONAL DE ÁGUAS	CIA DE PESQUISA DE RECURSOS MINERAIS	20	SIM	NÃO	NÃO	01/01/1939	--	--	--	--	--
-41,8911	-21,2064	2141004	ITAPERUNA	RIO DE JANEIRO	ITAPERUNA	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	AGÊNCIA NACIONAL DE ÁGUAS	CIA DE PESQUISA DE RECURSOS MINERAIS	110	SIM	NÃO	NÃO	01/03/1942	--	--	--	--	--
-41,7522	-21,6453	2141005	SÃO FIDELIS	RIO DE JANEIRO	SÃO FIDÉLIS	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	AGÊNCIA NACIONAL DE ÁGUAS	CIA DE PESQUISA DE RECURSOS MINERAIS	10	SIM	NÃO	NÃO	01/01/1939	--	--	--	--	--
-41,8586	-21,6433	2141006	DOIS RIOS	RIO DE JANEIRO	SÃO FIDÉLIS	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	AGÊNCIA NACIONAL DE ÁGUAS	CIA DE PESQUISA DE RECURSOS MINERAIS	50	SIM	NÃO	NÃO	01/01/1939	--	--	--	--	--
-41,9853	-21,6253	2141007	TRÊS IRMÃOS	RIO DE JANEIRO	CAMBUCI	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	AGÊNCIA NACIONAL DE ÁGUAS	CIA DE PESQUISA DE RECURSOS MINERAIS	42	SIM	NÃO	NÃO	01/03/1943	--	--	--	--	--
-41,75	-21,65	2141043	SÃO FIDELIS	RIO DE JANEIRO	SÃO FIDÉLIS	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO NACIONAL DE METEOROLOGIA	INSTITUTO NACIONAL DE METEOROLOGIA	74	SIM	SIM	SIM	01/01/1922	--	01/01/1922	--	01/01/1922	--
-41,3333	-21,75	2141044	CAMPOS	RIO DE JANEIRO	CAMPO DOS GOYTACAZES	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO NACIONAL DE METEOROLOGIA	INSTITUTO NACIONAL DE METEOROLOGIA	25	SIM	SIM	SIM	01/06/1911	--	01/08/1978	--	01/06/1911	--
-41,9	-21,2	2141045	ITAPERUNA	RIO DE JANEIRO	ITAPERUNA	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO NACIONAL DE METEOROLOGIA	INSTITUTO NACIONAL DE METEOROLOGIA	124	SIM	SIM	SIM	01/01/1922	--	01/01/1922	--	01/01/1922	--
-41,7219	-21,0722	2141077	PCH FRANCA AMARAL BARRAMENTO	RIO DE JANEIRO	BOM JESUS DE ITABAPOANA	ATLÂNTICO, TRECHO LESTE	RIOS ITAPEMIRIM, ITABAPOANA E .	QUANTA GERAÇÃO S.A.	QUANTA GERAÇÃO S.A.	--	SIM	NÃO	NÃO	01/09/2013	--	--	--	--	--
-41,6819	-21,4333	2141078	ITALVA PREFEITURA	RIO DE JANEIRO	ITALVA	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO ESTADUAL DO AMBIENTE	CIA DE PESQUISA DE RECURSOS MINERAIS	--	SIM	NÃO	NÃO	01/03/2009	--	--	--	--	--
-41,985	-21,0356	2141080	NATIVIDADE	RIO DE JANEIRO	NATIVIDADE	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	CONSELHO DOS GESTORES MUNICIPAIS E DEFESA CIVIL DO EST. DO RIO DE JANEIRO	CONSELHO DOS GESTORES MUNICIPAIS DE DEFESA CIVIL DO EST. DO RIO DE JANEIRO	189	SIM	NÃO	NÃO	01/12/2010	--	--	--	--	--
-41,6783	-21,1283	2141081	BOM JESUS DO ITABAPOANA	RIO DE JANEIRO	BOM JESUS DE ITABAPOANA	ATLÂNTICO, TRECHO LESTE	RIOS ITAPEMIRIM, ITABAPOANA E .	CONSELHO DOS GESTORES MUNICIPAIS E DEFESA CIVIL DO EST. DO RIO DE JANEIRO	CONSELHO DOS GESTORES MUNICIPAIS DE DEFESA CIVIL DO EST. DO RIO DE JANEIRO	99	SIM	NÃO	NÃO	01/12/2010	--	--	--	--	--
-41,8842	-21,2203	2141082	ITAPERUNA - BOMBEIRO	RIO DE JANEIRO	ITAPERUNA	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	CONSELHO DOS GESTORES MUNICIPAIS E DEFESA CIVIL DO EST. DO RIO DE JANEIRO	CONSELHO DOS GESTORES MUNICIPAIS DE DEFESA CIVIL DO EST. DO RIO DE JANEIRO	117	SIM	NÃO	NÃO	01/12/2010	--	--	--	--	--
-41,8764	-21,2164	2141083	ITAPERUNA - GALPÃO DAS ARTES	RIO DE JANEIRO	ITAPERUNA	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	CONSELHO DOS GESTORES MUNICIPAIS E DEFESA CIVIL DO EST. DO RIO DE JANEIRO	CONSELHO DOS GESTORES MUNICIPAIS DE DEFESA CIVIL DO EST. DO RIO DE JANEIRO	113	SIM	NÃO	NÃO	01/12/2010	--	--	--	--	--
-41,5978	-21,7264	2141084	MORANGABA	RIO DE JANEIRO	CAMPO DOS GOYTACAZES	ATLÂNTICO, TRECHO LESTE	RIOS MACAÉ, SÃO JOÃO E OUTROS	CONSELHO DOS GESTORES MUNICIPAIS E DEFESA CIVIL DO EST. DO RIO DE JANEIRO	CONSELHO DOS GESTORES MUNICIPAIS DE DEFESA CIVIL DO EST. DO RIO DE JANEIRO	48	SIM	NÃO	NÃO	01/12/2010	--	--	--	--	--
-41,3267	-21,7375	2141085	CAMPOS - UPA	RIO DE JANEIRO	CAMPO DOS GOYTACAZES	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	CONSELHO DOS GESTORES MUNICIPAIS E DEFESA CIVIL DO EST. DO RIO DE JANEIRO	CONSELHO DOS GESTORES MUNICIPAIS DE DEFESA CIVIL DO EST. DO RIO DE JANEIRO	19	SIM	NÃO	NÃO	01/12/2010	--	--	--	--	--
-41,5756	-21,1697	2141088	PCH PEDRA DO GARRAFÃO MONTANTE 2	RIO DE JANEIRO	BOM JESUS DE ITABAPOANA	ATLÂNTICO, TRECHO LESTE	RIOS ITAPEMIRIM, ITABAPOANA E .	RIO PCH I S.A	RIO PCH I S.A	73	SIM	NÃO	NÃO	01/10/2012	--	--	--	--	--
-41,9139	-21,2103	2141090	ITAPERUNA	RIO DE JANEIRO	ITAPERUNA	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO ESTADUAL DO AMBIENTE	INFOPER	--	SIM	NÃO	NÃO	01/11/2011	--	--	--	--	--
-41,6917	-21,4083	2141091	ITALVA	RIO DE JANEIRO	ITALVA	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO ESTADUAL DO AMBIENTE	INFOPER	--	SIM	NÃO	NÃO	01/11/2011	--	--	--	--	--
-41,6328	-21,4894	2141092	CARDOSO MOREIRA	RIO DE JANEIRO	19011500	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO ESTADUAL DO AMBIENTE	INFOPER	--	SIM	NÃO	NÃO	01/12/2011	--	--	--	--	--
-41,9947	-21,0328	2141093	NATIVIDADE	RIO DE JANEIRO	NATIVIDADE	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO ESTADUAL DO AMBIENTE	INFOPER	--	SIM	NÃO	NÃO	01/11/2011	--	--	--	--	--
-42,2075	-21,5111	2141094	SANTO ANTÔNIO DE PÁDUA	RIO DE JANEIRO	SANTO ANTÔNIO DE PÁDUA	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO ESTADUAL DO AMBIENTE	INFOPER	--	SIM	NÃO	NÃO	01/12/2011	--	--	--	--	--
-41,6789	-21,1331	2141095	BOM JESUS DO ITABAPOANA	RIO DE JANEIRO	BOM JESUS DE ITABAPOANA	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO ESTADUAL DO AMBIENTE	INFOPER	--	SIM	NÃO	NÃO	01/05/2012	--	--	--	--	--
-41,3486	-21,7353	2141096	CAMPOS DOS GOYTACAZES	RIO DE JANEIRO	CAMPO DOS GOYTACAZES	ATLÂNTICO, TRECHO LESTE	RIO PARAÍBA DO SUL	INSTITUTO ESTADUAL DO AMBIENTE	INFOPER	--	SIM	NÃO	NÃO	01/12/2011	--	--	--	--	--
