Periodo de solicitacao:
1996-06-05 a 2015-06-05


Estacao;Municipio;Latitude;Longitude;Altitude
CONSERVATORIA;VALENCA;-22.280001;-43.919998;550


ID Estacao;Data Medicao;Precipitacao Total
2243004;1996-07-01;5.2
2243004;1996-08-01;34.7
2243004;1996-09-01;178.9
2243004;1996-10-01;211.2
2243004;1996-11-01;245
2243004;1996-12-01;339.8
2243004;1997-01-01;399.6
2243004;1997-02-01;113.8
2243004;1997-03-01;120
2243004;1997-04-01;74.1
2243004;1997-05-01;28.9
2243004;1997-06-01;23.4
2243004;1997-07-01;6
2243004;1997-08-01;12.3
2243004;1997-09-01;38
2243004;1997-10-01;58.6
2243004;1997-11-01;97.4
2243004;1997-12-01;258.8
2243004;1998-01-01;112.4
2243004;1998-02-01;279.9
2243004;1998-03-01;169.7
2243004;1998-04-01;40.8
2243004;1998-05-01;126.1
2243004;1998-06-01;14.6
2243004;1998-07-01;1.9
2243004;1998-08-01;49.6
2243004;1998-09-01;20
2243004;1998-10-01;224.4
2243004;1998-11-01;122.3
2243004;1998-12-01;183.7
2243004;1999-01-01;310.1
2243004;1999-02-01;347.6
2243004;1999-03-01;64.3
2243004;1999-04-01;54.6
2243004;1999-05-01;7.5
2243004;1999-06-01;17
2243004;1999-07-01;18.6
2243004;1999-08-01;2.6
2243004;1999-09-01;29.5
2243004;1999-10-01;22.8
2243004;1999-11-01;139
2243004;1999-12-01;255.3
2243004;2000-01-01;263.2
2243004;2000-02-01;137
2243004;2000-03-01;191.5
2243004;2000-04-01;35
2243004;2000-05-01;8.9
2243004;2000-06-01;0
2243004;2000-07-01;50.5
2243004;2000-08-01;50.9
2243004;2000-09-01;39.4
2243004;2000-10-01;49.7
2243004;2000-11-01;100.8
2243004;2000-12-01;260.2
2243004;2001-01-01;242
2243004;2001-02-01;269.2
2243004;2001-03-01;554.9
2243004;2001-04-01;25.8
2243004;2001-05-01;59.3
2243004;2001-06-01;0
2243004;2001-07-01;7.4
2243004;2001-08-01;53.1
2243004;2001-09-01;22.5
2243004;2001-10-01;136.6
2243004;2001-11-01;198.2
2243004;2001-12-01;323.6
2243004;2002-01-01;341.8
2243004;2002-02-01;220.3
2243004;2002-03-01;127.5
2243004;2002-04-01;51.3
2243004;2002-05-01;56.5
2243004;2002-06-01;2.7
